codigo_categoria,categoria,nome,definicao,como_implementado,aplicacoes_praticas,indicadores_relacionados,referencias,imagens,referencias_completas
4, Dados de Jogadores,Estilo de jogo,Preferências e comportamento do jogador.,Analise padrões de jogo e decisões tomadas. | padroesJogo = analisarPadroes(decisoes),Identificar diferentes  formas de jogo.; Fornecer feedback para melhorar o design do jogo.,; 22 30,https://doi.org/10.1109/TLT.2020.2968234,,"Ruiperez-Valiente, Jose A., et al. ""Patterns of engagement in an educational massively multiplayer online game: A multidimensional view."" IEEE Transactions on Learning Technologies 13.4 (2020): 648-661."
4, Dados de Jogadores,Desempenho,Nível de habilidade do jogador em completar tarefas do jogo.,Defina e relacione métricas ligadas ao desempenho do jogador no contexto do jogo. | desempenho = calcularDesempenho(metrica),Avaliar  o desenvolvimento de habilidades do jogador.,1; 3; 4,https://doi.org/10.1109/ACCESS.2021.3110475,,"Zapata-Cáceres, María, and Estefanía Martín-Barroso. ""Applying game learning analytics to a voluntary video game: Intrinsic motivation, persistence, and rewards in learning to program at an early age."" IEEE Access 9 (2021): 123588-123602."
4, Dados de Jogadores,Conquistas,Recompensas e troféus obtidos pelos jogadores.,Registre cada conquista desbloqueada pelo jogador. | conquistas.append(conquista),Identificar impacto de recompensas nos jogadores.,3; 4; 30,https://doi.org/10.1109/ACCESS.2021.3110475,,"Zapata-Cáceres, María, and Estefanía Martín-Barroso. ""Applying game learning analytics to a voluntary video game: Intrinsic motivation, persistence, and rewards in learning to program at an early age."" IEEE Access 9 (2021): 123588-123602."
4, Dados de Jogadores,Configurações escolhidas,Preferências de configuração selecionadas pelos jogadores.,Registre cada configuração escolhida. | configuracoesEscolhidas.append(configuracao),Avaliar as preferências dos jogadores.; Fornecer feedback para melhorar o design do jogo.,29; 22,https://doi.org/10.1016/j.csi.2016.09.014,,"Serrano-Laguna, Ángel, et al. ""Applying standards to systematize learning analytics in serious games."" Computer Standards & Interfaces 50 (2017): 116-123."
4, Dados de Jogadores,Número de amigos,Quantidade de amigos adicionados no jogo.,Incremente o valor por 1 cada vez que um novo amigo é adicionado. | numeroAmigos += 1,Avaliar o nível de interação social.,27; 29,https://doi.org/10.1109/TLT.2020.2968234; https://ieeexplore.ieee.org/document/8001739,,"Ruiperez-Valiente, Jose A., et al. ""Patterns of engagement in an educational massively multiplayer online game: A multidimensional view."" IEEE Transactions on Learning Technologies 13.4 (2020): 648-661.; Tlili, A., et al. ""A smart educational game to model personality using learning analytics. In2017 IEEE 17th International conference on advanced learning technologies (ICALT) 2017 Jul 3 (pp. 131-135)."" IEEE. doi 10."
5, Dados de Fases,Número de jogadores por fase,Quantidade de jogadores que acessaram cada fase.,Incremente o valor por 1 cada vez que um jogador acessa a fase. | acessosFase += 1,Identificar participação em fases.; Fornecer feedback para melhorar o design do jogo.,35; 1,https://ieeexplore.ieee.org/document/9369393/,,"López-Pernas, Sonsoles, et al. ""Escapp: A web platform for conducting educational escape rooms."" IEEE Access 9 (2021): 38062-38077."
5, Dados de Fases,Número de vezes que a fase foi jogada,Quantidade de vezes que uma fase específica foi jogada.,Incremente o valor por 1 cada vez que a fase é jogada. | vezesFaseJogada += 1,Identificar participação em fases.; Fornecer feedback para melhorar o design do jogo.,34; 1,https://doi.org/10.1109/URUCON53396.2021.9647058; https://doi.org/10.5753/cbie.sbie.2020.622,36-Avila_Pesantez et al (2021).png,"Avila-Pesantez, Diego, et al. ""Improving the Serious Game design using Game Learning Analytics and Eye-tracking: A pilot study."" 2021 IEEE URUCON. IEEE, 2021.; Melo, Douglas, et al. ""Uma estratégia de game learning analytics para avaliar level design em um jogo educacional."" Anais do XXXI Simpósio Brasileiro de Informática na Educação. SBC, 2020."
5, Dados de Fases,Status,Se a fase foi concluída ou não.,Marque a fase como concluída ou não concluída. | faseConcluida = True ou faseConcluida = False,Identificar fases onde os jogadores encontram mais dificuldades.; Fornecer feedback para melhorar o design do jogo.,1; 35,https://doi.org/10.1109/ACCESS.2021.3110475; https://doi.org/10.5753/cbie.sbie.2020.622,,"Zapata-Cáceres, María, and Estefanía Martín-Barroso. ""Applying game learning analytics to a voluntary video game: Intrinsic motivation, persistence, and rewards in learning to program at an early age."" IEEE Access 9 (2021): 123588-123602.; Melo, Douglas, et al. ""Uma estratégia de game learning analytics para avaliar level design em um jogo educacional."" Anais do XXXI Simpósio Brasileiro de Informática na Educação. SBC, 2020."
6, Curvas de Aprendizado,Progresso de jogadores por fases,Progresso dos jogadores em diferentes fases ao longo do tempo.,Registre a progressão em cada fase. | progressoFase.append(progresso),Avaliar o desenvolvimento de habilidades entre os jogadores na fase.,1; 30,https://doi.org/10.1016/j.cag.2022.01.002; https://ieeexplore.ieee.org/document/7942988; https://doi.org/10.1016/j.csi.2016.09.014,,"Sharma, Vandit, et al. ""The design and evaluation of an AR-based serious game to teach programming."" Computers & Graphics 103 (2022): 1-18.; Alonso-Fernandez, Cristina, et al. ""Systematizing game learning analytics for serious games."" 2017 IEEE global engineering education conference (EDUCON). IEEE, 2017.; Serrano-Laguna, Ángel, et al. ""Applying standards to systematize learning analytics in serious games."" Computer Standards & Interfaces 50 (2017): 116-123."
6, Curvas de Aprendizado,Progresso dos jogadores ao longo do tempo,Progresso geral dos jogadores durante o jogo.,Registre a progressão ao longo de várias sessões de jogo. | progressoTotal.append(progresso),Avaliar o desenvolvimento contínuo de habilidades.,14; 30,https://doi.org/10.1109/ACCESS.2021.3110475; https://ieeexplore.ieee.org/document/7942988,38-Alonso et al (2017).png,"Zapata-Cáceres, María, and Estefanía Martín-Barroso. ""Applying game learning analytics to a voluntary video game: Intrinsic motivation, persistence, and rewards in learning to program at an early age."" IEEE Access 9 (2021): 123588-123602.; Alonso-Fernandez, Cristina, et al. ""Systematizing game learning analytics for serious games."" 2017 IEEE global engineering education conference (EDUCON). IEEE, 2017."
7, Dados que Precisam de Outros Dispositivos,Tempo para primeira fixação (Eye-Tracking),Tempo até o jogador fixar o olhar em um ponto específico pela primeira vez.,Registre o tempo até a primeira fixação em cada ponto de interesse. | tempoParaPrimeiraFixacao = calcularTempo(),Identificar pontos de interesse inicial dos jogadores.; Componentes mais influentes.; Fornecer feedback para melhorar o design do jogo.,40;,"https://doi.org/10.1109/URUCON53396.2021.9647058; https://doi.org/10.1109/TAFFC.2022.3210755",40-Avila_Pesantez et al (2021).png; 40-Avila_Pesantez et al (2021)_2.png,"Avila-Pesantez, Diego, et al. ""Improving the Serious Game design using Game Learning Analytics and Eye-tracking: A pilot study."" 2021 IEEE URUCON. IEEE, 2021.; Cloude, Elizabeth B., et al. ""Affective dynamics and cognition during game-based learning."" IEEE Transactions on Affective Computing 13.4 (2022): 1705-1717."
7, Dados que Precisam de Outros Dispositivos,Tempo de fixação específica (Eye-Tracking),Tempo que o jogador mantém o olhar fixo em um ponto específico.,Registre o tempo de fixação em cada ponto de interesse. | tempoFixacao += calcularTempo(),Avaliar foco dos jogadores.; Identificar principais pontos de interesse dos jogadores.; Fornecer feedback para melhorar o design do jogo.,39;,"https://doi.org/10.1109/URUCON53396.2021.9647058; https://doi.org/10.1109/TAFFC.2022.3210755",41-Avila_Pesantez et al (2021).png,"Avila-Pesantez, Diego, et al. ""Improving the Serious Game design using Game Learning Analytics and Eye-tracking: A pilot study."" 2021 IEEE URUCON. IEEE, 2021.; Cloude, Elizabeth B., et al. ""Affective dynamics and cognition during game-based learning."" IEEE Transactions on Affective Computing 13.4 (2022): 1705-1717."
7, Dados que Precisam de Outros Dispositivos,Tempo em que jogadores pareciam frustrados ou confusos (Reconhecimento Facial),Tempo que os jogadores demonstram sinais de frustração ou confusão.,Registre o tempo durante o qual os sinais são detectados. | tempoSinaisDetectados += calcularTempo(),Identificar áreas de dificuldade.; Fornecer feedback para melhorar o design do jogo.,4; 15,https://doi.org/10.1109/TAFFC.2022.3210755,,"Cloude, Elizabeth B., et al. ""Affective dynamics and cognition during game-based learning."" IEEE Transactions on Affective Computing 13.4 (2022): 1705-1717."
